KEYSTONE AI ML - FORENSIC AUDIT REPORT
REPORT ID: V92_AUDIT_20260130_174211
STATUS: VERIFIED BY TRINITY V92
----------------------------------------
METRICS:
- Efficiency: 50.00
- Resonance: 0.9776
- Total Rows Audited: 1000
- Flagged Leakage Rows: 280
- Estimated Recoverable Value: $7,510,444.48
----------------------------------------
DETAILED LEAKAGE LOG (FIRST 20 ROWS):
    Billing_Amount  Days_to_Pay  Error_Code  Provider_Rank  Insurance_Friction
0     44408.144472          151           1       0.161568           54.044728
1     39640.496773          117           1       0.891618           41.318422
2     21811.678442           59           1       0.077165           80.773548
13    41926.535697           78           1       0.758469           78.141543
16    20765.671551           97           1       0.821014           10.680114
22     9377.121117           46           1       0.966060           94.324831
25    46085.739486          173           1       0.486539           56.519851
27     6833.472018          101           1       0.756677           33.200809
36    26720.808120           60           1       0.670101            0.358240
46    15761.937248          160           1       0.409384           81.091508
54    27682.188882           88           1       0.311778           98.982449
56    36161.422705           90           1       0.899503            6.725312
58    14031.564093           67           1       0.191772           27.281878
59    43346.184293          111           1       0.007159           29.370472
61    18298.984753          138           1       0.655376           90.231055
62    39098.846207           53           1       0.201978           52.045437
71    47890.321531          125           1       0.891333           13.190110
79    24423.888355          112           1       0.953452           30.941901
84    44435.408742          110           1       0.157302           41.655909
87    47348.782475           36           1       0.690452           73.002265

[Sovereign Lock: Resonant flow confirmed by Keystone Arbiter]
